koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_disposition,kepid
1.204686597,0.823,233.2,1.55,0.328,10.8,1711.0,2026.81,5780.0,4.438,1.0,CANDIDATE,7746958
6.78341325,3.5437,501.2,20.75,0.665,35.3,2628.0,11295.61,5096.0,2.435,8.769,CANDIDATE,6525946
6.95787,4.537,182.3,1.39,0.1686,1.8,1047.0,284.4,6240.0,4.406,1.025,CANDIDATE,6041734
9.4907638,2.713,197.4,1.05,0.3638,7.3,704.0,58.01,5290.0,4.604,0.746,CANDIDATE,11030475
0.76196247,1.282,190.2,1.08,0.322,18.3,1638.0,1710.11,5167.0,4.555,0.787,CANDIDATE,11030475
2.19251903,1.845,18.1,0.37,0.616,6.6,1225.0,533.25,5450.0,4.563,0.842,CANDIDATE,9006186
39.7557642,1.958,621.8,13.72,1.219,10.2,325.0,2.64,4405.0,4.732,0.511,CANDIDATE,10471621
10.27127527,3.029,343.5,0.94,0.046,17.5,510.0,16.02,4405.0,4.732,0.511,CANDIDATE,10471621
4.267961416,1.3427,127.4,1.42,0.255,24.6,1371.0,834.16,6395.0,4.275,1.237,CANDIDATE,8074328
18.1209388,3.781,504.2,1.68,0.108,15.8,543.0,20.58,4905.0,4.536,0.774,CANDIDATE,4670217
3.98864999,3.516,94.2,1.15,0.355,12.4,1233.0,547.73,5692.0,4.288,1.188,CANDIDATE,9574179
25.1123362,7.922,398.8,2.22,0.007,11.8,691.0,53.73,6133.0,4.367,1.112,CANDIDATE,11391755
2.121023807,0.3673,263.9,5.75,1.0045,6.4,1573.0,1446.5,6133.0,4.367,1.112,CANDIDATE,11391755
33.18089453,15.24,,,,,,,,,,CANDIDATE,9088780
3.55557922,3.24,60.4,0.84,0.269,15.5,1270.0,615.03,5839.0,4.337,1.082,CANDIDATE,8894646
8.28157072,3.1,139.2,1.37,0.042,12.9,956.0,197.82,5640.0,4.288,1.175,CANDIDATE,8247770
0.82628442,0.9603,134.9,0.96,0.28,25.6,1629.0,1654.69,5218.0,4.548,0.829,CANDIDATE,6867588
6.37705295,1.949,502.8,2.15,0.234,17.9,935.0,180.66,5672.0,4.503,0.965,CANDIDATE,7501646
2.27050106,1.903,106.7,0.55,0.473,15.9,903.0,157.05,4671.0,4.721,0.528,CANDIDATE,8838950
18.55581565,5.372,565.9,20.83,0.073,33.2,1793.0,2442.24,5988.0,2.982,8.841,CANDIDATE,12257999
13.33094869,1.426,725.6,25.95,1.199,17.1,815.0,104.37,5991.0,4.394,1.039,CANDIDATE,6922203
21.47642727,5.5498,348130.0,59.5,0.006,124.8,655.0,43.52,5780.0,4.438,1.0,CANDIDATE,2437505
7.10397925,1.5398,370.5,1.51,0.192,16.8,818.0,105.84,5488.0,4.584,0.789,CANDIDATE,8836888
6.77367892,3.579,150.7,1.33,0.228,15.1,1083.0,324.84,6392.0,4.425,1.072,CANDIDATE,8636539
5.22402436,2.608,48.1,0.58,0.12,15.1,941.0,185.16,5487.0,4.512,0.84,CANDIDATE,9283156
15.92108138,1.5443,716.8,3.14,0.972,16.1,645.0,40.88,5595.0,4.57,0.82,CANDIDATE,9574158
2.81043228,3.874,47.4,1.43,0.351,17.8,1701.0,1978.53,5415.0,3.868,2.079,CANDIDATE,7294743
175.603366,9.543,506.8,2.87,0.952,14.7,348.0,3.46,6225.0,4.461,1.009,CANDIDATE,6765135
64.034363,9.174,758.8,3.47,0.985,16.9,411.0,6.72,5691.0,4.561,0.783,CANDIDATE,5342061
4.790912471,0.5134,360.7,2.25,0.969,17.6,717.0,62.51,4359.0,4.601,0.676,CANDIDATE,4047631
47.3659328,7.929,757.0,11.97,1.085,16.0,481.0,12.62,5708.0,4.482,0.902,CANDIDATE,6516185
29.2254372,5.293,174.1,1.35,0.384,15.7,614.0,33.69,6049.0,4.461,1.008,CANDIDATE,7446631
13.9034057,3.408,261.4,1.55,0.871,15.3,646.0,41.08,5261.0,4.523,0.819,CANDIDATE,5906426
