koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,target,koi_disposition,kepid
4.220965778,3.0854,2260.0,2.62,0.705,157.8,595.0,29.68,3837.0,4.747,0.517,1,CONFIRMED,7135852
6.998099523,2.0488,20285.0,588.66,7.361,192.3,853.0,125.22,5612.0,4.566,0.829,0,FALSE POSITIVE,7270230
5.95489993,2.3892,1410.7,2.33,0.327,87.2,635.0,38.52,4261.0,4.641,0.633,1,CONFIRMED,7287995
12.03987488,2.7363,1250.6,2.18,0.286,57.6,502.0,15.06,4261.0,4.641,0.633,1,CONFIRMED,7287995
20.83762895,2.3734,439.0,1.42,0.706,14.9,418.0,7.24,4261.0,4.641,0.633,1,CONFIRMED,7287995
8.8111022,5.0683,401.1,63.66,1.223,76.8,1399.0,904.92,6200.0,3.8,2.404,0,FALSE POSITIVE,3247396
23.58917143,5.073,1200.7,3.16,0.926,53.3,487.0,13.34,4919.0,4.566,0.721,1,CONFIRMED,7303253
6.481633073,3.784,298.5,2.54,0.833,125.6,1145.0,406.25,5945.0,4.213,1.302,1,CONFIRMED,5094751
10.37168928,3.035,1254.9,3.2,0.537,64.5,720.0,63.68,5121.0,4.457,0.888,1,CONFIRMED,7678434
3.96996298,1.1757,299.2,1.78,0.836,15.0,992.0,229.37,5121.0,4.457,0.888,1,CONFIRMED,7678434
4.40841331,5.012,549.4,2.66,0.899,45.1,1139.0,398.0,6007.0,4.457,0.961,1,CONFIRMED,7685981
7.9426176,6.703,1590.7,4.68,0.942,60.4,878.0,140.57,5811.0,4.521,0.926,0,FALSE POSITIVE,7708215
226.8904775,7.558,3136.4,4.53,0.731,46.8,236.0,0.73,5067.0,4.585,0.75,1,CONFIRMED,7373451
1.956811408,2.1958,24905.0,21.58,1.091,125.4,1109.0,357.16,5209.0,4.657,0.603,0,FALSE POSITIVE,7377033
9.439459486,2.8979,3036.1,4.16,0.049,175.2,686.0,52.32,5097.0,4.597,0.779,1,CONFIRMED,7434875
11.523067458,3.8757,507.3,3.13,0.0,142.0,927.0,174.81,5644.0,4.162,1.411,1,CONFIRMED,8349582
20.47748843,2.8364,1382.4,2.92,0.497,52.7,530.0,18.65,5097.0,4.597,0.779,1,CONFIRMED,7434875
3.336123113,1.9616,516.3,1.74,0.252,41.6,970.0,209.79,5097.0,4.597,0.779,1,CONFIRMED,7434875
8.01078456,2.312,1333.6,1.72,0.192,48.5,453.0,9.9,3713.0,4.779,0.47,1,CONFIRMED,7455287
12.07134205,4.3224,759.2,1.29,0.014,31.0,395.0,5.74,3713.0,4.779,0.47,1,CONFIRMED,7455287
20.99587872,2.6333,767.3,1.3,0.228,18.2,328.0,2.74,3713.0,4.779,0.47,1,CONFIRMED,7455287
7.41113177,2.5242,620.5,2.45,0.712,50.4,905.0,158.11,5849.0,4.517,0.919,1,CONFIRMED,7458762
